"project_id","Activity Created By","Activity Created On","Activity Updated By","Activity Updated On","Objective","Organizations and Project ID","Project Description","Executing Sector","Original Completion Date","Proposed Completion Date","Proposed Start Date","Donor Commitment Date","Donor Group","Donor Type","Funding Organization Id","Type Of Assistance","Primary Sector Sub-Sector","Primary Sector Sub-Sub-Sector","Secondary Sector","Secondary Sector Sub-Sector","Tertiary Sector","Responsible Organization","Executing Agency","Executing Agency Groups","Contracting Agency","Contracting Agency Acronym","Beneficiary Agency","Beneficiary Agency Groups","Final Date for Contracting","Mancomunidad","Implementation Level","Region","Zone","SIAFI Code","Total Costs"
"BKFW007","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","29/08/2013","","2000.65.847 (Alemania / KfW)","Fomento de la vivienda para la población menos favorecida","Sector Público","","","04/06/2004","04/06/2004","Alemania","Bilateral","2000.65.847","Donación / No reembolsable"," - 16030 - Política de cubierta y gerencia administrativa
 - 16040 - Cubierta barata"," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","13 - Vivienda"," ","Alemania / KfW","Fundacion para el Desarrollo de la Vivienda Social Urbana y Rural","ONG Internacional"," "," "," "," ",""," ","Sub-national"," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R03 - Occidente
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R06 - Cordillera Nombre de Dios
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R09 - Biosfera Río Plátano
 - R11 - El Paraíso
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R14 - Región Lempa
 - R16 - Región de Santa Bárbara"," - Aguanqueterique
 - Ajuterique
 - Alauca
 - Alianza
 - Alubaren
 - Amapala
 - Apacilagua
 - Arada
 - Aramecina
 - Arenal
 - Arizona
 - Atima
 - Azacualpa
 - Balfate
 - Belén Gualcho
 - Bonito Oriental
 - Cabañas
 - Cane
 - Caridad
 - Cedros
 - Ceguaca
 - Chinacla
 - Chinda
 - Choloma
 - Choluteca
 - Comayagua
 - Concepción
 - Concepción [Ocotepeque]
 - Concepción de Maria
 - Concepción del Norte
 - Concepción del Sur
 - Copán Ruinas
 - Corquín
 - Cucuyagua
 - Curarén
 - Danlí
 - Distrito Central
 - Dolores
 - Dolores Merendón
 - Dulce Nombre
 - Duyure
 - El Corpus
 - El Negrito
 - El Níspero
 - El Paraíso
 - El Porvenir
 - El Progreso
 - El Rosario
 - El Triunfo
 - Esparta
 - Esquías
 - Florida
 - Fraternidad
 - Goascorán
 - Guaimaca
 - Guajiquiro
 - Gualala
 - Güinope
 - Humuya
 - Ilama
 - Iriona
 - Jacaleapa
 - Jocón
 - Jutiapa
 - La Ceiba
 - La Encarnación
 - La Jigua
 - La Labor
 - La Libertad
 - La Lima
 - La Masica
 - La Paz
 - La Trinidad
 - La Unión
 - La Venta
 - Lamaní
 - Langue
 - Las Lajas
 - Las Vegas
 - Lauterique
 - Lejamaní
 - Lepaterique
 - Limón
 - Liure
 - Lucerna
 - Macuelizo
 - Maraita
 - Marale
 - Marcala
 - Marcovia
 - Mercedes
 - Mercedes de Oriente
 - Meámbar
 - Minas de Oro
 - Morazán
 - Morocelí
 - Morolica
 - Nacaome
 - Namasigue
 - Naranjito
 - Nueva Arcadia
 - Nueva Armenia
 - Nueva Frontera
 - Nuevo Celilac
 - Ocotepeque
 - Ojojona
 - Ojos de Agua
 - Olanchito
 - Omoa
 - Opatoro
 - Orica
 - Orocuina
 - Oropolí
 - Pespire
 - Petoa
 - Pimienta
 - Potrerillos
 - Protección
 - Puerto Cortés
 - Quimistán
 - Reitoca
 - Sabanagrande
 - Sabá
 - San Agustín
 - San Antonio
 - San Antonio de Cortés
 - San Antonio de Flores
 - San Antonio de Oriente
 - San Antonio del Norte
 - San Buenaventura
 - San Fernando
 - San Francisco
 - San Francisco de Coray
 - San Francisco de Ojuera
 - San Francisco de Yojoa
 - San Francisco del Valle
 - San Ignacio
 - San Isidro
 - San Jerónimo
 - San Jorge
 - San José
 - San José de Colinas
 - San José de Comayagua
 - San José del Potrero
 - San Juan
 - San Juan de Flores
 - San Juan de Opoa
 - San Lorenzo
 - San Lucas
 - San Luis
 - San Manuel
 - San Marcos
 - San Marcos de Colon
 - San Matías
 - San Miguelito
 - San Nicolás
 - San Pedro Sula
 - San Pedro Zacapa
 - San Pedro de Copán
 - San Pedro de Tutule
 - San Sebastián
 - San Vicente Centenario
 - Santa Ana
 - Santa Ana de Yusguare
 - Santa Bárbara
 - Santa Cruz de Yojoa
 - Santa Elena
 - Santa Fé
 - Santa Lucía
 - Santa María
 - Santa Rita
 - Santa Rosa de Aguán
 - Santa Rosa de Copán
 - Santiago de Puringla
 - Sensenti
 - Siguatepeque
 - Sinuapa
 - Soledad
 - Sonaguera
 - Sulaco
 - Talanga
 - Tatumbla
 - Taulabé
 - Tela
 - Teupasenti
 - Texiguat
 - Tocoa
 - Trinidad
 - Trinidad de Copán
 - Trojes
 - Trujillo
 - Vado Ancho
 - Valle de Angeles
 - Vallecillo
 - Veracruz
 - Victoria
 - Villa de San Antonio
 - Villa de San Francisco
 - Villanueva
 - Yarula
 - Yauyupe
 - Yorito
 - Yoro
 - Yuscarán","","9328927.407"
"BKFW010","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","29/08/2013","","2002.66.940 (Alemania / KfW)","Desarrollo de las Comunidades","Sector Público","","","10/09/2004","10/09/2004","Alemania","Bilateral","2002.66.940","Crédito"," - 16010 - Servicios de asistencia social
 - 16020 - Política de empleo y gerencia administrativa
 - 16030 - Política de cubierta y gerencia administrativa
 - 16050 - Ayuda multisectora para los servicios sociales básicos"," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","16 - Infraestructura Social"," ","Alemania / KfW","Fondo Hondureño de Inversión Social","Gobierno"," "," "," "," ",""," ","Country/National"," "," ","","9774534.08"
"BKFW008","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","29/08/2013","","1998.67.086 (Alemania / KfW)","Fomento de la vivienda para la población menos favorecida","Sector Público","","","31/08/1999","31/12/2010","Alemania","Bilateral","1998.67.086","Donación / No reembolsable","16040 - Cubierta barata"," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","13 - Vivienda"," ","Alemania / KfW","Fundacion para el Desarrollo de la Vivienda Social Urbana y Rural","ONG Internacional"," "," "," "," ",""," ","Sub-national"," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R03 - Occidente
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R06 - Cordillera Nombre de Dios
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R09 - Biosfera Río Plátano
 - R11 - El Paraíso
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R14 - Región Lempa
 - R16 - Región de Santa Bárbara"," - Aguanqueterique
 - Ajuterique
 - Alauca
 - Alianza
 - Alubaren
 - Amapala
 - Apacilagua
 - Arada
 - Aramecina
 - Arenal
 - Arizona
 - Atima
 - Azacualpa
 - Balfate
 - Belén
 - Belén Gualcho
 - Bonito Oriental
 - Cabañas
 - Camasca
 - Candelaria
 - Cane
 - Caridad
 - Cedros
 - Ceguaca
 - Chinacla
 - Chinda
 - Choloma
 - Choluteca
 - Cololaca
 - Colomoncagua
 - Comayagua
 - Concepción
 - Concepción [Ocotepeque]
 - Concepción de Maria
 - Concepción del Norte
 - Concepción del Sur
 - Copán Ruinas
 - Corquín
 - Cucuyagua
 - Curarén
 - Danlí
 - Distrito Central
 - Dolores
 - Dolores Merendón
 - Dulce Nombre
 - Duyure
 - El Corpus
 - El Negrito
 - El Níspero
 - El Paraíso
 - El Porvenir
 - El Progreso
 - El Rosario
 - El Triunfo
 - Erandique
 - Esparta
 - Esquías
 - Florida
 - Fraternidad
 - Goascorán
 - Gracias
 - Guaimaca
 - Guajiquiro
 - Gualala
 - Gualcince
 - Guarita
 - Güinope
 - Humuya
 - Ilama
 - Intibucá
 - Iriona
 - Jacaleapa
 - Jesús de Otoro
 - Jocón
 - Jutiapa
 - La Campa
 - La Ceiba
 - La Encarnación
 - La Esperanza
 - La Iguala
 - La Jigua
 - La Labor
 - La Libertad
 - La Lima
 - La Masica
 - La Paz
 - La Trinidad
 - La Unión
 - La Venta
 - La Virtud
 - Lamaní
 - Langue
 - Las Flores
 - Las Lajas
 - Las Vegas
 - Lauterique
 - Lejamaní
 - Lepaera
 - Lepaterique
 - Limón
 - Liure
 - Lucerna
 - Macuelizo
 - Magdalena
 - Mapulaca
 - Maraita
 - Marale
 - Marcala
 - Marcovia
 - Masaguara
 - Mercedes
 - Mercedes de Oriente
 - Meámbar
 - Minas de Oro
 - Morazán
 - Morocelí
 - Morolica
 - Nacaome
 - Namasigue
 - Naranjito
 - Nueva Arcadia
 - Nueva Armenia
 - Nueva Frontera
 - Nuevo Celilac
 - Ocotepeque
 - Ojojona
 - Ojos de Agua
 - Olanchito
 - Omoa
 - Opatoro
 - Orica
 - Orocuina
 - Oropolí
 - Pespire
 - Petoa
 - Pimienta
 - Piraera
 - Potrerillos
 - Protección
 - Puerto Cortés
 - Quimistán
 - Reitoca
 - Sabanagrande
 - Sabá
 - San Agustín
 - San Andrés
 - San Antonio
 - San Antonio de Cortés
 - San Antonio de Flores
 - San Antonio de Oriente
 - San Antonio del Norte
 - San Buenaventura
 - San Fernando
 - San Francisco
 - San Francisco de Coray
 - San Francisco de Ojuera
 - San Francisco de Opalaca
 - San Francisco de Yojoa
 - San Francisco del Valle
 - San Ignacio
 - San Isidro
 - San Jerónimo
 - San Jorge
 - San José
 - San José de Colinas
 - San José de Comayagua
 - San José del Potrero
 - San Juan
 - San Juan Guarita
 - San Juan de Flores
 - San Juan de Opoa
 - San Lorenzo
 - San Lucas
 - San Luis
 - San Manuel
 - San Manuel Colohete
 - San Marcos
 - San Marcos de Caiquin
 - San Marcos de Colon
 - San Marcos de la Sierra
 - San Matías
 - San Miguelito
 - San Nicolás
 - San Pedro Sula
 - San Pedro Zacapa
 - San Pedro de Copán
 - San Pedro de Tutule
 - San Rafael
 - San Sebastián
 - San Vicente Centenario
 - Santa Ana
 - Santa Ana de Yusguare
 - Santa Bárbara
 - Santa Cruz
 - Santa Cruz de Yojoa
 - Santa Elena
 - Santa Fé
 - Santa Lucía
 - Santa María
 - Santa Rita
 - Santa Rosa de Aguán
 - Santa Rosa de Copán
 - Santiago de Puringla
 - Sensenti
 - Siguatepeque
 - Sinuapa
 - Soledad
 - Sonaguera
 - Sulaco
 - Talanga
 - Talgua
 - Tambla
 - Tatumbla
 - Taulabé
 - Tela
 - Teupasenti
 - Texiguat
 - Tocoa
 - Tomalá
 - Trinidad
 - Trinidad de Copán
 - Trojes
 - Trujillo
 - Vado Ancho
 - Valladolid
 - Valle de Angeles
 - Vallecillo
 - Veracruz
 - Victoria
 - Villa de San Antonio
 - Villa de San Francisco
 - Villanueva
 - Virginia
 - Yamaranguila
 - Yarula
 - Yauyupe
 - Yorito
 - Yoro
 - Yuscarán","","6663520.135"
"BKFW009","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","29/08/2013","Favorecer a los menos privilegiados a través de financiamientos en el sector Vivienda y MIPYME, valorando mucho la equidad en el género.","2000.65.854 (Alemania / KfW)","Reducir el déficit de la vivienda mínima de la población de bajos y muy bajos recursos en áreas rurales y así mejorar las condiciones de vida del grupo meta.","Sector Público","","","01/01/2006","01/01/2006","Alemania","Bilateral","2000.65.854","Donación / No reembolsable","16040 - Cubierta barata"," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","13 - Vivienda","SENSIBILIDAD DE GÉNERO","Alemania / KfW","Fundacion para el Desarrollo de la Vivienda Social Urbana y Rural","ONG Internacional"," "," ","Fundacion para el Desarrollo de la Vivienda Social Urbana y Rural","ONG Internacional",""," ","Country/National"," "," ","","6663520.135"
"BKFW003","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","29/08/2013","","1991.65.770 (Alemania / KfW)","Protección y Desarrollo de la Biosfera Río Plátano.","Sector Público","","","22/04/2004","22/04/2004","Alemania","Bilateral","1991.65.770","Donación / No reembolsable","410 - Protección del medio ambiente general","41020 - Protección de la biosfera","3 - AGROFORESTAL Y TURISMO","32 - Recursos Forestal y Ambiente"," ","Alemania / KfW","Instituto Nacional de Conservación y Desarrollo Forestal","Gobierno"," "," "," "," ",""," ","Sub-national"," - R09 - Biosfera Río Plátano
 - R10 - La Mosquitia"," - Ahuas
 - Dulce Nombre de Culmí
 - Iriona
 - Villeda Morales","","11617010.295"
"TAIW015","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","30/08/2013","","S/N (Gobierno de Taiwan)",""," ","","","05/10/2010","20/03/2012","China","Bilateral","S/N","Donación / No reembolsable","998 - Sin Especificar/ Sin Asignar","99810 - Sectores no especificados","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","14 - Protección Social"," ","Gobierno de Taiwan","Gobierno de Taiwan","China"," "," "," "," ",""," ","Country/National"," "," ","","350000"
"BAID040","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","09/09/2013","Incrementar la demanda local de productos agrícolas, generar empleo en el medio rural y diversificar la matriz energética en forma sostenible.","ATN/MC-11284-HO (Banco Interamericano de Desarrollo)","Cooperación técnica para financiar la elaboración de estudios necesarios para facilitar la toma de decisiones relativas a la implementación de programas de producción y uso de biocombustibles.","Sector Público","","","17/12/2008","12/12/2008","Organismo Internacional","Multilateral","ATN/MC-11284-HO","Donación / No reembolsable","23010 - Política energética y gerencia administrativa"," ","2 - COMUNICACIONES Y ENERGÍA","23 - Energía","GENERACIÓN DE EMPLEO","Banco Interamericano de Desarrollo","Secretaría de Despacho Presidencial","Gobierno"," "," "," "," ",""," ","Country/National"," "," ","BIP000900003900","383252"
"BAID147","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","09/09/2013","","ATN/SF-10118-HO (Banco Interamericano de Desarrollo)","Apoyar el encadenamiento productivo de la microempresa rosquillera en el municipio de Danlí, con el fin de mejorar los niveles de vida de las familias directamente partícipes de las mismas.","Sector Privado","","","20/11/2006","20/11/2006","Organismo Internacional","Multilateral","ATN/SF-10118-HO","Donación / No reembolsable","32130 - Desarrollo de las pequeñas y medianas empresas (SME)"," ","4 - FORTALECIMIENTO INSTITUCIONAL","42 - Competitividad y MIPYMES"," ","Banco Interamericano de Desarrollo","Federación de Cooperativas de Ahorro y Crédito de Honduras, Ltda.","Sector Privado"," "," "," "," ",""," ","Sub-national","R11 - El Paraíso","Danlí","","226510"
"BAID146","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","09/09/2013","","SP/SF-06-12-HO (Banco Interamericano de Desarrollo)","","Sector Privado","","","20/11/2006","20/11/2006","Organismo Internacional","Multilateral"," ","Donación / No reembolsable","32130 - Desarrollo de las pequeñas y medianas empresas (SME)"," ","4 - FORTALECIMIENTO INSTITUCIONAL","42 - Competitividad y MIPYMES"," ","Banco Interamericano de Desarrollo","Federación de Cooperativas de Ahorro y Crédito de Honduras, Ltda.","Sector Privado"," "," "," "," ",""," ","Sub-national","R11 - El Paraíso","Danlí","","300000"
"87171129368","Mario Zavala (mzavala@seplan.gob.hn)","28/05/2013","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Asegurar una buena alimentación del ganado e intensificar asimismo la producción de forrajes para mejorar el ingreso de las fincas y participantes.","232.615 (Unicredit Bank de Austria AG)","Dotar a productores de la infraestructura adecuada para regar sus cultivos.","Sector Público","","31/01/2014","19/12/2012","19/12/2012","Austria","Bilateral","232.615","Crédito","31120 - Desarrollo agrícola"," ","3 - AGROFORESTAL Y TURISMO","31 - Agricultura, Agroindustria y Ganadería"," - COMPETITIVIDAD E INNOVACIÓN
 - SEGURIDAD ALIMENTARIA","Unicredit Bank de Austria AG","Secretaría de Agricultura y Ganadería","Gobierno"," "," ","Secretaría de Agricultura y Ganadería","Gobierno",""," ","Country/National"," "," ","","0"
"871711212204","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Contribuir al desarrollo de las capacidades de los pequeños agricultores mediante el uso de tecnologías de producción bajo riego en los valles de Comayagua y Guayape.","S/N (Unicredit Bank de Austria AG)","","Sector Público","","","","01/07/2013","Austria","Bilateral"," ","Crédito","31140 - Recursos hídricos agrícolas"," ","3 - AGROFORESTAL Y TURISMO","31 - Agricultura, Agroindustria y Ganadería"," ","Unicredit Bank de Austria AG","Secretaría de Agricultura y Ganadería","Gobierno"," "," ","Secretaría de Agricultura y Ganadería","Gobierno",""," ","Sub-national"," - R02 - Valle de Comayagua
 - R07 - Norte de olancho"," - Ajuterique
 - Cane
 - Cedros
 - Chinacla
 - Comayagua
 - El Porvenir
 - El Rosario
 - Esquías
 - Guayape
 - Humuya
 - La Libertad
 - La Trinidad
 - Lamaní
 - Lejamaní
 - Marale
 - Masaguara
 - Meámbar
 - Minas de Oro
 - Ojos de Agua
 - San Ignacio
 - San Isidro
 - San Jerónimo
 - San José del Potrero
 - San Luis
 - San Sebastián
 - Santa María
 - Santiago de Puringla
 - Siguatepeque
 - Sulaco
 - Talanga
 - Vallecillo
 - Victoria
 - Villa de San Antonio","","0"
"871711212205","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Conectividad segura y permanente entre los municipios de Lepaera, Camasca y El Negrito y las comunidades aledañas a los mismos.","S/N (Unicredit Bank de Austria AG)","","Sector Público","","","","01/07/2013","Austria","Bilateral"," ","Crédito"," "," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","16 - Infraestructura Social"," ","Unicredit Bank de Austria AG","Secretaría de Obras Públicas, Transporte y Vivienda","Gobierno"," "," "," - Alcadía de Lepaera
 - Alcaldia de  Intibucá,  Intibucá
 - Alcaldía de Camasca
 - Alcaldía de El Negrito","Alcaldías",""," ","Sub-national"," - R01 - Valle de Sula
 - R03 - Occidente
 - R14 - Región Lempa"," - Camasca
 - El Negrito
 - Intibucá
 - Lepaera","","0"
"871711212206","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Mario Zavala (mzavala@seplan.gob.hn)","13/09/2013","Implementación y equipamiento de nuevos centros para tecnología de Control Numérico Computarizado (CNC), que tenga capacidad productiva de un nivel internacional junto con lo cual se da incorporación de tecnología moderna para la actualización de programas de formación profesional en la Ingeniería de Procesos de Manufactura y Mecanizado CNC, mediante la fundamentación tecnológica en las áreas de Ingeniería Mecánica y Autotrónica.","S/N (Unicredit Bank de Austria AG)","","Sector Público","","","","01/07/2013","Austria","Bilateral"," ","Crédito","114 - Educación postsecundaria","11430 - Entrenamiento técnico y directivo avanzado","1 - PROMOCIÓN Y PROTECCIÓN HUMANA"," - 12 - Educación y Cultura
 - 14 - Protección Social"," ","Unicredit Bank de Austria AG","Instituto Nacional para la Formación Profesional","Gobierno"," "," ","Instituto Nacional para la Formación Profesional","Gobierno",""," ","Country/National"," "," ","","0"
"MCAD001","ATL ATL (atl@amp.org)","20/03/2012","Mario Zavala (mzavala@seplan.gob.hn)","17/09/2013","(a) Incrementar la productividad y habilidades comerciales de los agricultores que operan las fincas agrícolas pequeñas y medianas y de sus empleados (el ""Objetivo agrícola""), y (b) Disminuir los costos del transporte entre los centros de producción contemplados y los mercados nacionales, regionales y mundiales (el ""Objetivo del transporte"").","S/N (Cuenta del Desafio del Milenio)","(a) La Carretera CA-5. Mejora de un segmento de 50 kilómetros de la Carretera CA-5 entre Taulabe y Comayagua ( el ""Segmento Norte"") y un segmento de 59 kilómetros de la Carretera CA-5 entre Villa de San Antonio y Tegucigalpa (el ""Segmento Sur"").  (b) Carreteras Secundarias. La renovación de las carreteras secundarias claves para mejorar el acceso a las comunidades rurales.  (c) Sistema de Control de Peso. La construcción de un sistema efectivo para el control de peso y la emisión de contratos para su operación eficiente.","Autoadministrado por Socio al Desarrollo","","","13/06/2005","13/06/2005","Estados Unidos","Bilateral"," ","Donación / No reembolsable"," "," ","1 - PROMOCIÓN Y PROTECCIÓN HUMANA","11 - Salud"," ","Cuenta del Desafio del Milenio","Cuenta del Desafio del Milenio","Estados Unidos"," "," "," "," ",""," ","Sub-national"," - R01 - Valle de Sula
 - R02 - Valle de Comayagua
 - R03 - Occidente
 - R04 - Valle de Lean
 - R05 - Valle de Aguán
 - R06 - Cordillera Nombre de Dios
 - R07 - Norte de olancho
 - R08 - Valles de Olancho
 - R09 - Biosfera Río Plátano
 - R11 - El Paraíso
 - R12 - Región Centro
 - R13 - Golfo de Fonseca
 - R14 - Región Lempa
 - R16 - Región de Santa Bárbara"," - Aguanqueterique
 - Ajuterique
 - Alauca
 - Alianza
 - Alubaren
 - Amapala
 - Apacilagua
 - Arada
 - Aramecina
 - Arenal
 - Arizona
 - Atima
 - Azacualpa
 - Balfate
 - Belén
 - Belén Gualcho
 - Bonito Oriental
 - Cabañas
 - Camasca
 - Campamento
 - Candelaria
 - Cane
 - Caridad
 - Catacamas
 - Cedros
 - Ceguaca
 - Chinacla
 - Chinda
 - Choloma
 - Choluteca
 - Cololaca
 - Colomoncagua
 - Comayagua
 - Concepción
 - Concepción [Ocotepeque]
 - Concepción de Maria
 - Concepción del Norte
 - Concepción del Sur
 - Concordia
 - Copán Ruinas
 - Corquín
 - Cucuyagua
 - Curarén
 - Danlí
 - Distrito Central
 - Dolores
 - Dolores Merendón
 - Dulce Nombre
 - Dulce Nombre de Culmí
 - Duyure
 - El Corpus
 - El Negrito
 - El Níspero
 - El Paraíso
 - El Porvenir
 - El Progreso
 - El Rosario
 - El Triunfo
 - Erandique
 - Esparta
 - Esquipulas del Norte
 - Esquías
 - Florida
 - Fraternidad
 - Goascorán
 - Gracias
 - Guaimaca
 - Guajiquiro
 - Gualaco
 - Gualala
 - Gualcince
 - Guarita
 - Guarizama
 - Guata
 - Guayape
 - Güinope
 - Humuya
 - Ilama
 - Intibucá
 - Iriona
 - Jacaleapa
 - Jano
 - Jesús de Otoro
 - Jocón
 - Jutiapa
 - Juticalpa
 - La Campa
 - La Ceiba
 - La Encarnación
 - La Esperanza
 - La Iguala
 - La Jigua
 - La Labor
 - La Libertad
 - La Lima
 - La Masica
 - La Paz
 - La Trinidad
 - La Unión
 - La Venta
 - La Virtud
 - Lamaní
 - Langue
 - Las Flores
 - Las Lajas
 - Las Vegas
 - Lauterique
 - Lejamaní
 - Lepaera
 - Lepaterique
 - Limón
 - Liure
 - Lucerna
 - Macuelizo
 - Magdalena
 - Mangulile
 - Manto
 - Mapulaca
 - Maraita
 - Marale
 - Marcala
 - Marcovia
 - Masaguara
 - Mercedes
 - Mercedes de Oriente
 - Meámbar
 - Minas de Oro
 - Morazán
 - Morocelí
 - Morolica
 - Nacaome
 - Namasigue
 - Naranjito
 - Nueva Arcadia
 - Nueva Armenia
 - Nueva Frontera
 - Nuevo Celilac
 - Ocotepeque
 - Ojojona
 - Ojos de Agua
 - Olanchito
 - Omoa
 - Opatoro
 - Orica
 - Orocuina
 - Oropolí
 - Patuca
 - Pespire
 - Petoa
 - Pimienta
 - Piraera
 - Potrerillos
 - Protección
 - Puerto Cortés
 - Quimistán
 - Reitoca
 - Sabanagrande
 - Sabá
 - Salamá
 - San Agustín
 - San Andrés
 - San Antonio
 - San Antonio de Cortés
 - San Antonio de Flores
 - San Antonio de Oriente
 - San Antonio del Norte
 - San Buenaventura
 - San Esteban
 - San Fernando
 - San Francisco
 - San Francisco de Becerra
 - San Francisco de Coray
 - San Francisco de La Paz
 - San Francisco de Ojuera
 - San Francisco de Opalaca
 - San Francisco de Yojoa
 - San Francisco del Valle
 - San Ignacio
 - San Isidro
 - San Jerónimo
 - San Jorge
 - San José
 - San José de Colinas
 - San José de Comayagua
 - San José del Potrero
 - San Juan
 - San Juan Guarita
 - San Juan de Flores
 - San Juan de Opoa
 - San Lorenzo
 - San Lucas
 - San Luis
 - San Manuel
 - San Manuel Colohete
 - San Marcos
 - San Marcos de Caiquin
 - San Marcos de Colon
 - San Marcos de la Sierra
 - San Matías
 - San Miguelito
 - San Nicolás
 - San Pedro Sula
 - San Pedro Zacapa
 - San Pedro de Copán
 - San Pedro de Tutule
 - San Rafael
 - San Sebastián
 - San Vicente Centenario
 - Santa Ana
 - Santa Ana de Yusguare
 - Santa Bárbara
 - Santa Cruz
 - Santa Cruz de Yojoa
 - Santa Elena
 - Santa Fé
 - Santa Lucía
 - Santa María
 - Santa María del Real
 - Santa Rita
 - Santa Rosa de Aguán
 - Santa Rosa de Copán
 - Santiago de Puringla
 - Sensenti
 - Siguatepeque
 - Silca
 - Sinuapa
 - Soledad
 - Sonaguera
 - Sulaco
 - Talanga
 - Talgua
 - Tambla
 - Tatumbla
 - Taulabé
 - Tela
 - Teupasenti
 - Texiguat
 - Tocoa
 - Tomalá
 - Trinidad
 - Trinidad de Copán
 - Trojes
 - Trujillo
 - Vado Ancho
 - Valladolid
 - Valle de Angeles
 - Vallecillo
 - Veracruz
 - Victoria
 - Villa de San Antonio
 - Villa de San Francisco
 - Villanueva
 - Virginia
 - Yamaranguila
 - Yarula
 - Yauyupe
 - Yocón
 - Yorito
 - Yoro
 - Yuscarán","","203915682.74"
"871711210663"," ","09/07/2012","Mario Zavala (mzavala@seplan.gob.hn)","19/09/2013","Objetivo General: Contribuir al funcionamiento efectivo del Mecanismo Nacional de Prevención contra la Tortura en Honduras; con la finalidad de mejorar las condiciones de las personas privadas de libertad. Objetivos Específicos: Fortalecer las capacidades institucionales del CONAPREV para el eficaz cumplimiento de su mandato, ampliando su cobertura geográfica mediante la apertura de la sub sede en la Región uno (Valle de Sula) por ser esta zona donde se presenta mayor incidencia de violaciones a los derechos de las personas privadas de libertad. Fortalecer la incidencia del Mecanismo en materia de prevención de la tortura a nivel nacional.","1075-11 (Agencia Española de Cooperación Internacional para el Desarrollo)","Esta segunda etapa de la subvención estará destinada al fortalecimiento institucional, la conformación de una plataforma que permita al MNP-CONAPREV, asumir el liderazgo como mecanismo de incidencia nacional e internacional en materia de prevención, protección y denuncia de la tortura, así como la coordinación interinstitucional en el seguimiento, investigación, comunicación estratégica y capacitaciones continuas en las recomendaciones internacionales en la materia.","Sector Público","","03/07/2013","03/01/2012"," - 03/01/2012
 - 01/04/2012","España","Bilateral","1075-11"," - Donación / No reembolsable
 - Intereses Devengados","152 - Prevención de conflictos y resolución, paz y seguridad","15210 - Gerencia y reforma del sistema de seguridad","4 - FORTALECIMIENTO INSTITUCIONAL","43 - Defensa y Seguridad"," - DERECHOS HUMANOS
 - PREVENCIÓN DE VIOLENCIA","Agencia Española de Cooperación Internacional para el Desarrollo","Mecanismo Nacional de Prevención contral la Tortura y otros tratos Crueles, Inhumanos o Degradantes","ONG Local"," "," "," "," ",""," ","Country/National"," "," ","","170589.67"
