"Project_ID","PROYECTO","OBJETIVO","MODALIDAD","ENTIDADES RESPONSABLES","MONEDA","APORTE NACIONAL","APORTE INTERNACIONAL","BENEFICIARIOS","TERRITORIOS","MUNICIPIOS","TIPO DE COOPERACION"
"COL133","Contribuci?n a la autoprotecci?n de las comunidades ind?genas afectadas por el conflicto armado en el suroccidente de Colombia desde la acci?n humanitaria contra minas","Contribuir a la autoprotección de comunidades indigenas afectadas por el conflicto armado en el suroccidente de Colombia.","Cooperación Técnica","GENEVA CALL - LLAMAMIENTO DE GINEBRA","US Dolar","77.125,00","77.125,00","INDIGENAS","PUTUMAYO, CAUCA, NARIÑO","PUERTO ASIS, PUERTO LEGUIZAMO, SUAREZ, VALLE DEL GUAMUEZ, BUENOS AIRES, RICAURTE, CUMBAL, ORITO, TUMACO","BILATERALES"
"COL134","Fortalecimiento ?tnico y de los derechos de las v?ctimas de las comunidades negras en Colombia.","Contribuir al empoderamiento de las comunidades negras de los consejos comunitarios del país para el pleno desarrollo de sus derechos colectivos y alcance de los mismos (territorio, autonomía e identidad cultural), en el marco de la ley de víctimas y restitución de tierras y sus decretos reglamentarios, entre otros el 4000 y 4635 de 2011.","Cooperación Técnica","CENTRO REGIONAL PARA EL FOMENTO DEL LIBRO EN AMERICA LATINA Y EL CARIBE -CERLAC","US Dolar","0","33.665,17","COMUNIDAD NEGRA","RISARALDA, ANTIOQUIA, VALLE DEL CAUCA, NARIÑO, CAUCA, CHOCÓ","","BILATERALES"
"COL135","Defensa de los derechos en Colombia","Defensa de los derechos en Colombia","Cooperación Técnica","COLECTIVO DE ABOGADOS","US Dolar","0","501.244,00","VICTIMAS DE LA VIOLENCIA","AMBITO NACIONAL","","BILATERALES"
"COL136","Fortalecimiento del tejido social a partir de la puesta en valor del Patrimonio Cultural, para mitigar las secuelas causadas por el conflicto armado","Recuperación y fortalecimiento del tejido social y cultural a partir de la valoración del patrimonio, para mitigar las secuelas causadas por el conflicto armado;","Cooperación Técnica","ALC SAN JACINTO (BOLIVAR)","US Dolar","0","209.729,00","VICTIMAS DE LA VIOLENCIA","BOLIVAR","SAN JACINTO","BILATERALES"
"COL137","Apoyo al Sistema Nacional de Escuelas Taller. Fases V","Creado un Sistema ó Programa Nacional para la promoción, apropiación y sostenibilidad de las Escuelas Taller de Colombia","Cooperación Técnica","FUNDACION ESCUELA TALLER DE BOGOTA","US Dolar","0","84.500,00","INSTITUCIONES, JÓVENES","AMBITO NACIONAL","AMBITO NACIONAL","BILATERALES"
"COL138","Apoyo al Museo Casa de la Memoria de Medell?n - Fase II","Se ha creado una experiencia museogràfica interactiva y educativa como espacio de inclusión y generación de procesos participativos que promuevan y difundan la Memoria Histórica del conflicto armado entre los habitantes de la ciudad de Medellín.","Cooperación Técnica","ALC MEDELLIN","US Dolar","0","390.000,00","VICTIMAS DE LA VIOLENCIA, JÓVENES","ANTIOQUIA","MEDELLIN","BILATERALES"
"COL139","Apoyo al Museo CAsa de la Memoria de Medell?n - Fase II","Promover la reconstrucción y difusión de la memoria histórica del conflicto armado, mediante la construcción y puesta en funcionamiento de una Casa de la Memoria en la ciudad de Medellín.","Cooperación Técnica","ALC MEDELLIN","US Dolar","0","390.000,00","VICTIMAS DE LA VIOLENCIA","ANTIOQUIA","MEDELLIN","BILATERALES"
"COL140","Convenio 2010-2013 Mejora de la calidad educativa para la inserci?n social de poblaciones vulnerables en Am?rica Latina - Fase I","Contribuir al logro del derecho a una educación básica, inclusiva, gratuita y de calidad mediante el fortalecimiento de los sistemas públicos de educación y de las organizaciones de la sociedad civil, en aquellos países y grupos con menores índices educativos","Cooperación Financiera","FE Y ALEGRÍA","US Dolar","0","325.654,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL141","Formaci?n de docentes mediante entornos virtuales para la educaci?n parental. PCI 2011","Formación de docentes mediante entornos virtuales para la educación parental. PCI 2011","Cooperación Técnica","U. VALLE","US Dolar","0","113.812,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL142","Becas de formaci?n 2012","Promover la educación y la formación en Francia","Becas de Perfeccionamiento Académico","NO ESPECIFICA","US Dolar","0","195.000,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL143","Apropiaci?n local del desarrollo","Fortalecimiento de las capacidades de organizaciones locales para mejorar el bienestar de personas en áreas de salud, seguridad alimentaria, sostenibilidad ambiental y derechos humanos.","Cooperación Técnica","INTERPARES","US Dolar","0","467.872,00","ORGANIZACIONES SOCIALES","AMBITO NACIONAL","","BILATERALES"
"COL144","Proyecto para la construcci?n de un hogar para primera infacia en Cajib?o","Contribuir al desarrollo integral de la población infantil en Colombia (apoyo a la estrategia Nacional para la primera infancia ""De Cero a Siempre"")","Cooperación Financiera","FUNDACION JULIO MARIO SANTODOMINGO","US Dolar","0","101.046,00","INFANCIA Y ADOLESCENCIA","CAUCA","CAJIBIO","BILATERALES"
"COL145","Proyecto para la construcci?n de un colegio en el municipio de La Palma","Contribuir a la ampliación de la cobertura educativa en el municipio de La Palma","Cooperación Financiera","FEDERECIÓN NACIONAL DE CORPORACION ANDINA DE FOMENTO - CAFETEROS","US Dolar","0","104.967,00","INFANCIA Y ADOLESCENCIA","CUNDINAMARCA","LA PALMA","BILATERALES"
"COL146","Proyecto para la construcci?n de una biblioteca para ni?os en Timbiqu?","Mejorar las condiciones educativas del municipio de Timbiquí","Cooperación Financiera","CORP. DESARROLLO Y PAZ DEL MAGDALENA MEDIO","US Dolar","0","112.317,00","INFANCIA Y ADOLESCENCIA","CAUCA","TIMBIQUI","BILATERALES"
"COL147","Proyecto para la construcci?n de un colegio para etno educaci?n en Valle del Guamu?z","Contribuir a la ampliación de la cobertura educativa en el municipio del Valle del Guamuéz","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","89.095,00","INFANCIA Y ADOLESCENCIA","PUTUMAYO","VALLE DEL GUAMUEZ","BILATERALES"
"COL148","Proyecto para la construcci?n de un restaurante del hogar para primera infancia en Soacha","Mejorar los niveles de cobertura en nutrición para población infantil vulnerable en Soacha","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","89.408,00","INFANCIA Y ADOLESCENCIA","CUNDINAMARCA","SOACHA","BILATERALES"
"COL149","Iniciativa neerlandesa de desarrollo de capacidades en la educaci?n superior (NICHE) en Colombia","1) Fortalecer la educación y capacitación postsecundaria; 2) Contribuir a la mejora de las condiciones de vida y la posición de mujeres y niñas (género); 3) Vincular la educación y la capacitación al mercado laboral.","Cooperación Financiera","MINISTERIO DE EDUCACION","US Dolar","0","2.600.000,00","POBLACIÓN EN GENERAL","CAQUETÁ, PUTUMAYO, VALLE DEL CAUCA, META, NARIÑO, AMAZONAS, CHOCÓ","LA MACARENA, BUENAVENTURA, COLON, SIBUNDOY, PUERTO RICO, SAN VICENTE DEL CAGUAN, VALPARAISO, SAN JUAN DE ARAMA, VISTAHERMOSA, CABUYARO, GRANADA, PUERTO ASIS, BAJO BAUDO, BOJAYA, PUERTO GAITAN, MESETAS, LA URIBE, MOCOA, PUERTO LEGUIZAMO, EL CARMEN DE ATRATO, UNGUIA, PUERTO LLERAS, LA CHORRERA, CARTAGENA DEL CHAIRA, EL PAUJIL, ACANDI, JURADO, SANTIAGO, VALLE DEL GUAMUEZ, CURILLO, BAHIA SOLANO, RIOSUCIO, BELEN DE LOS ANDAQUIES, SAN JOSE DEL FRAGUA, BELEN DE BAJIRA, SAN FRANCISCO, LETICIA, EL DONCELLO, PUERTO LOPEZ, FUENTE DE ORO, LEJANIAS, ORITO, SAN MIGUEL, ALBANIA, CARMEN DEL DARIEN, NUQUI, TUMACO","BILATERALES"
"COL150","ALFA III - Am?rica Latina Formaci?n Acad?mica","Contribuir al desarrollo de la educación superior en AL como medio para estimular un desarrollo económico y social más balanceado e inclusivo en la región.","Cooperación Financiera","ASOC. COLOMBIANA DE UNIVERSIDADES - ASCUN-","US Dolar","0","6.138.889,00","JÓVENES, INSTITUCIONES","AMBITO NACIONAL","","BILATERALES"
"COL151","Proyecto para la construcci?n de un hogar para primera infancia en Suarez","Contribuir al desarrollo integral de la población infantil en Colombia (apoyo a la estrategia Nacional para la primera infancia ""De Cero a Siempre"")","Cooperación Financiera","FUNDACION JULIO MARIO SANTODOMINGO","US Dolar","0","102.101,00","INFANCIA Y ADOLESCENCIA","CAUCA","SUAREZ","BILATERALES"
"COL152","PROGRAMA ERASMUS MUNDUS II","Promover la cooperación interuniversitaria y apoyar la movilidad académica favoreciendo la interculturalidad entre Europa y el resto del mundo. El objetivo de la Acción 2 (Ventana de Cooperación Exterior con AL que reemplaza al Programa ALBAN) es el de fortalecer el conocimiento mutuo entre la UE y Latinoamérica mediante intercambios académicos y culturales, para mejorar la educación y la experiencia de recursos humanos, contribuyendo al desarrollo económico y social de AL.","Cooperación Financiera","NO ESPECIFICA","US Dolar","637.866,00","14.427.400,00","JÓVENES, INSTITUCIONES","AMBITO NACIONAL","AMBITO NACIONAL","BILATERALES"
"COL153","Proyecto para la construcci?n de un restaurante del hogar para primera infancia en Santa Marta","Mejorar los niveles de cobertura en nutrición para población infantil vulnerable en Santa Marta","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","89.679,00","INFANCIA Y ADOLESCENCIA","MAGDALENA","SANTA MARTA","BILATERALES"
"COL154","Desarrollo de la Pol?tica de G?nero, Generaci?n y Familia de la OIA para el Fortalecimiento de las Mujeres Ind?genas en Colombia, Fase III","Fortalecida la implementación de las Políticas de Género, Generación y Familia en las comunidades indígenas de Antioquia, Caldas y Risaralda - Colombia","Cooperación Financiera","ORG. INDIGENA DE ANTIOQUIA - OIA","US Dolar","0","142.754,00","MUJERES, INDIGENAS","CALDAS, RISARALDA, ANTIOQUIA","MURINDO, SALGAR, URRAO, ARBOLETES, BETANIA, BURITICA, DABEIBA, MUTATA, ANDES, ANZA, CAREPA, HELICONIA, HISPANIA, OLAYA, SAN JERONIMO, VALPARAISO, CARAMANTA, LIBORINA, MANIZALES, AMAGA, ARMENIA, CONCORDIA, GIRALDO, LA PINTADA, SAN JUAN DE URABA, TURBO, ANGELOPOLIS, CHIGORODO, SOPETRAN, VIGIA DEL FUERTE, PEREIRA, SANTAFE DE ANTIOQUIA, NECOCLI, SABANALARGA, SAN PEDRO DE URABA, APARTADO, BETULIA, CIUDAD BOLIVAR, CAÑASGORDAS, FREDONIA, FRONTINO, JARDIN, TAMESIS, URAMITA, VENECIA","BILATERALES"
"COL155","Atenci?n integral a poblaci?n afectada por el conflicto armado en la zona periurbana de Tumaco - Fase II","Generar y fortalecer procesos participativos y productivos, que permitan la integración social y la promoción personal de las mujeres rurales afectadas por el conflicto armado","Cooperación Técnica","CORP. REHABILITACIÓN VALLE DEL CAUCA","US Dolar","0","177.481,00","MUJERES, VICTIMAS DE LA VIOLENCIA","NARIÑO","TUMACO","BILATERALES"
"COL156","Programa de G?nero en Desarrollo","Se ha dado seguimiento a las violencias basadas en género y se han establecido lineamientos y estrategias pertinentes para su erradicación; Se ha impulsado la participación de las mujeres en la vida política para aumentar su reconocimiento y legitimidad en la esfera del poder público; Las diferentes entidades ejecutoras del orden nacional y territorial han desarrollado en el marco de sus políticas y programas, las medidas pertinentes para identificar, realizar seguimiento y evaluar las intervenciones que por su naturaleza ameriten enfoques diferenciales de género, que permitan la progresiva realización de derechos y equiparación de oportunidades entre los mismos.","Cooperación Técnica","CENTRO REGIONAL DE DERECHOS HUMANOS Y JUSTICIA DE GENERO - HUMANAS","US Dolar","0","650.000,00","INSTITUCIONES, MUJERES","AMBITO NACIONAL","AMBITO NACIONAL","BILATERALES"
"COL157","Programa G?nero en Desarrollo - Fase I","Se ha dado seguimiento a las violencias basadas en género y se han establecido lineamientos y estrategias pertinentes para su erradicación. Se ha impulsado la participación de las mujeres en la vida política para aumentar su reconocimiento y legitimidad en la esfera del poder público.","Cooperación Técnica","CENTRO REGIONAL DE DERECHOS HUMANOS Y JUSTICIA DE GENERO - HUMANAS","US Dolar","0","650.000,00","INSTITUCIONES, MUJERES","AMBITO NACIONAL","","BILATERALES"
"COL158","Afro para Afro: Consolidaci?n del proceso de empoderamiento de la mesa municipal de mujeres de Tumaco - Nari?o","Las mujeres afrocolombianas acceden y ejercen plenamente sus derechos sociales, políticos y civiles, económicos y culturales y aportan a la construcción de paz en el Municipio de Tumaco.","Cooperación Técnica","TALLER ABIERTO - CENTRO DE PROMOCIÓN INTEGRAL PARA LA MUJER Y LA FAMILIA, GLOBAL HUMANITARIA","US Dolar","0","258.648,00","AFROCOLOMBIANOS, MUJERES, ORGANIZACIONES SOCIALES, INDIGENAS, INSTITUCIONES","NARIÑO","TUMACO","BILATERALES"
"COL159","Proyecto para la construcci?n de un restaurante del hogar para primera infancia en Barranquilla","Mejorar los niveles de cobertura en nutrición para población infantil vulnerable en Barranquilla","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","83.841,00","INFANCIA Y ADOLESCENCIA","ATLÁNTICO","BARRANQUILLA","BILATERALES"
"COL160","Generaci?n de un modelo de estabilizaci?n e inclusi?n socio-econ?mica para mujeres en condici?n de desplazamiento en las localidades de Suba y Santa Fe en la ciudad de Bogot?","Contribuir al empoderamiento de 50 mujeres de procedencia indígena, afro-colombianas y mestizas, víctimas del conflicto armado interno colombiano, a través del refuerzo de la colaboración con el sector privado, como medida para luchar contra la pobreza y contra del racismo","Cooperación Técnica","CORP. CULTIBA","US Dolar","0","129.809,00","MUJERES, POBLACIÓN DESPLAZADA","BOGOTÁ D.C.","","BILATERALES"
"COL161","Promoviendo acciones de incidencia y pr?cticas de las mujeres de la Regi?n Caribe para la construcci?n de paz con restituci?n, justicia y protecci?n.","Contribuir a mejorar las condiciones de participac. efectiva e incidencia en los procesos de reparación, restitución de tierras y construcc. de paz liderado por mujeres víctimas del desplazamiento y del conflicto armado del Espacio Multicultural de Mujeres y sus organizac. aliadas, en 4 departamentos (Atlánt., Bolívar, Magdal. y Sucre) de la región del Caribe colombiano.","Cooperación Financiera","ASOC. COLECTIVO MUJERES AL DERECHO","US Dolar","0","52.000,00","MUJERES","ATLÁNTICO, MAGDALENA, BOLIVAR, SUCRE","","BILATERALES"
"COL162","Escuela Pol?tica de Mujeres de Medell?n-Colombia en ciudadan?a, participaci?n electoral e incidencia en escenarios estatales de elecci?n popular","Mujeresdel movimiento social de mujeres, lideresas, feministas, integrantes de partidos políticos e instancias de decisión de Medellín, han potenciado capacidades individuales y organizativas para su participación político electoral con conciencia de género, y mejorado condiciones para el posicionamiento de sus intereses, logrando construir e implementar estrategias que permitan mayor incidencia en los escenarios estatales de elección popular y en la inclusión sus propuestas en instancias de decisión local.","Cooperación Técnica","NO ESPECIFICA","US Dolar","0","160.546,00","MUJERES","ANTIOQUIA","MEDELLIN","BILATERALES"
"COL163","Las mujeres ind?genas de Colombia fortalecen su capacidad para concertar e incidir en la implementaci?n de pol?ticas p?blicas","Las mujeres indígenas de Antioquia y del Consejo Nacional de Mujeres fortalecen su capacidad para concertar e incidir en la implementación de políticas públicas locales, departamentales y nacionales.","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","104.000,00","MUJERES","AMBITO NACIONAL, ANTIOQUIA","","BILATERALES"
"COL164","DEFENSA Y PROMOCI?N DE LOS DERECHOS HUMANOS EN EL MUNICIPIO DE SONSON, ANTIOQUIA","Mejorar las condiciones de vida de la población Antioqueña afectada por el conflicto armado, para posibilitar la defensa y promoción real de los Derechos Humanos (Colombia)","Cooperación Financiera","MICROEMPRESAS DE ANTIOQUIA - MEDA","US Dolar","0","128.564,00","MUJERES","ANTIOQUIA","","BILATERALES"
"COL165","Promoci?n de pol?ticas p?blicas de igualdad de g?nero en Colombia","Mejoradas las condiciones de las mujeres colombianas para aumentar su participación política y vivir una vida libre de violencias. Se ha contribuido a la calidad de la gobernabilidad democrática en Colombia al existir políticas públicas de igualdad de género que fortalecen al Estado y que contribuyan al ejercicio real y efectivo de los derechos y la ciudadanía de las mujeres","Cooperación Técnica","CENTRO REGIONAL DE DERECHOS HUMANOS Y JUSTICIA DE GENERO - HUMANAS","US Dolar","0","351.000,00","INSTITUCIONES, MUJERES","AMBITO NACIONAL","","BILATERALES"
"COL166","CIUDAD Y MUJERES: enfoque de g?nero en la planificaci?n urbana y la gesti?n del territorio","Contrastar el degrado creciente de las áreas marginales urbanas, a través de la reducción de los desequilibrios territoriales y el fomento de la inclusión social y el empoderamiento de los grupos más vulnerables de la sociedad civil. 2) Promover el fortalecimiento de las autoridades locales socias en la gestión de lás áreas urbanas marginales","Cooperación Financiera","COMUNE DI PONTEDERA","US Dolar","70.104,00","845.000,00","MUJERES","VALLE DEL CAUCA","CALI","BILATERALES"
"COL167","Mujeres ind?genas de Antioquia, Cauca, Choc? y C?rdoba y del Consejo Nacional de Mujeres fortalecen su capacidad para concertar e incidir en la implementaci?n de pol?ticas p?blicas locales, departamentales y nacionales NSAPVD/2012/293-682","Las mujeres indígenas son reconocidas como agentes de desarrollo en el marco del conflicto armado colombiano","Cooperación Financiera","FUNDACION MUNDUBAT","US Dolar","75.833,00","227.500,00","INDIGENAS","CÓRDOBA, ANTIOQUIA, CAUCA, CHOCÓ","","BILATERALES"
"COL168","SERVICIO DE EDUCACI?N Y FORMACI?N INTEGRAL EN EL SUBSECTOR DE DESARROLLO DE HABILIDADES","SERVICIO DE EDUCACIÓN Y FORMACIÓN INTEGRAL EN EL SUBSECTOR DE DESARROLLO DE HABILIDADES","Cooperación Técnica","NO ESPECIFICA","US Dolar","0","79.963,17","POBLACIÓN EN GENERAL","ATLÁNTICO, VALLE DEL CAUCA, CUNDINAMARCA, TOLIMA, META, CHOCÓ","","BILATERALES"
"COL169","Entorno de derechos de los ni?os y adolescentes en Colombia","Propender para que a los niños, niñas, adolescentes se les garanticen sus derechos.","Cooperación Financiera","FONDO DE NACIONES UNIDAS PARA LA INFANCIA - UNICEF","US Dolar","0","1.545.454,55","INFANCIA Y ADOLESCENCIA","CÓRDOBA, HUILA, MAGDALENA, ANTIOQUIA, BOLIVAR, LA GUAJIRA, AMAZONAS, BOYACÁ, CAUCA, CHOCÓ, NARIÑO","","BILATERALES"
"COL170","Creciendo Juntos: Desarrollo Sostenible para la Juventud Rural en Nari?o","Apoya a jóvenes vulnerables y en situación de riesgo en nueve municipios del departamento de Nariño para generar, y beneficiarse de iniciativas económicas lícitas y sostenibles que les permita una vida digna","Cooperación Financiera","PROGRAMA DE LAS NACIONES UNIDAS PARA EL DESARROLLO - PNUD-PROGRAMA DE LAS NACIONES UNIDAS - UNDP","US Dolar","0","10.000.000,00","INFANCIA Y ADOLESCENCIA, JÓVENES","NARIÑO","LEIVA, CUMBITARA, SANTA BARBARA, EL CHARCO, EL ROSARIO, LA TOLA, OLAYA HERRERA, MOSQUERA, TUMACO","BILATERALES"
"COL171","Fortalecimiento de la Gobernabilidad Institucional para la Promoción y Protección de los Derechos de la Niñez.","Fortalecer la capacidad de los gobiernos para promover y proteger los derechos de la niñez en Colombia, Jamaica y Guatemala.","Cooperación Técnica","ORGANIZACIÓN DE ESTADOS AMERICANOS - OEA","US Dolar","0","733.480,00","INFANCIA Y ADOLESCENCIA","AMBITO NACIONAL","","BILATERALES"
"COL172","Proyecto de consolidaci?n para apoyar a los ni?os y ni?as desvinculados y prevenir el reclutamiento de ni?os y ni?as.","Prevencion del reclutamiento forzado de niños y niñas y promover su reintegración.","Cooperación Técnica","USAID","US Dolar","4.893.000,00","19.572.000,00","INFANCIA Y ADOLESCENCIA","AMBITO NACIONAL","","BILATERALES"
"COL173","Cuerpos de Paz en Colombia","Trabajar con ONG, GOC y grupos de Jóvenes para promover auto-estima y ambiente positivo para jóvenes vulnerables. Colaborar con docentes de inglés en escuelas públicas de sectores de estratos 4,3,2, 1 y 0 en mejorar practicas para la enseñanza y aprendizaje del inglés.","Cooperación Cultural","PEACE CORPS","US Dolar","0","566.666,67","INFANCIA Y ADOLESCENCIA","ATLÁNTICO, MAGDALENA, BOLIVAR","SANTA MARTA, BARRANQUILLA, CARTAGENA","BILATERALES"
"COL174","Acompa?amiento y fortalecimiento de organizaciones e iniciativas juveniles en participaci?n ciudadana con incidencia p?blica en el muncipio de Quibd?","Brindar acompañamiento y asesoría a procesos juveniles, orientados al fortalecimiento organizativo y la participación e incidencia en la gestión pública desde la construcción de cultura de paz que incorpore un enfoque diferencial;","Cooperación Técnica","FUNDACION PIES DESCALZOS","US Dolar","0","195.000,00","JÓVENES","CHOCÓ","QUIBDO","BILATERALES"
"COL175","Acompa?amiento y fortalecimiento de organizaciones e iniciativas juveniles en participaci?n ciudadana con incidencia p?blica, en el municipio de Quibd? - Choc?.","Brindar acompañamiento y asesoría a procesos juveniles, orientados al fortalecimiento y la participación e incidencia en la gestión pública desde la construcción de cultura de paz que incorpore un enfoque diferencial.","Cooperación Técnica","FUNDACION PIES DESCALZOS","US Dolar","0","195.000,00","JÓVENES","CHOCÓ","QUIBDO","BILATERALES"
"COL176","Hacia la apropiaci?n social del conocimiento en el contexto de la estrategia ?yo decido mi vida y la de mi municipio: alternativa para la promoci?n de los derechos humanos sexuales y reproductivos con perspectiva de g?nero en la juventud?. PCI 2011","Fomentar la movilidad y el intercambio de información entre el grupo de investigación en toma de decisiones de la UAM, el grupo Familia y Sexualidad de Uniandes y otros actores sociales clave para la generaciónm gestión y uso del conocimiento que propicie la conformación de una red docente e investigativa comprometida con la estrategia \""Yo decido mi vida y la de mi municipio\"""".""","Cooperación Técnica","U. ANDES","US Dolar","0","45.500,00","JÓVENES","AMBITO NACIONAL","","BILATERALES"
"COL177","Escuela Taller de Bogot?","Demostrar y sostener el impacto del modelo de capacitación técnica para la competitividad de los egresados y su consecuente inserción al mercado laboral","Cooperación Técnica","FUNDACION ESCUELA TALLER DE BOGOTA","US Dolar","0","104.000,00","JÓVENES","BOGOTÁ D.C.","","BILATERALES"
"COL178","Proyecto para la construcci?n de un hogar para primera Infancia en Silvia","Contribuir al desarrollo integral de la población infantil en Colombia (apoyo a la estrategia Nacional para la primera infancia ""De Cero a Siempre"")","Cooperación Financiera","FUNDACION JULIO MARIO SANTODOMINGO","US Dolar","0","102.833,00","INFANCIA Y ADOLESCENCIA","CAUCA","SILVIA","BILATERALES"
"COL179","Proyecto para la construcci?n de un hogar para primera infancia en Villavieja","Contribuir al desarrollo integral de la población infantil en Colombia (apoyo a la estrategia Nacional para la primera infancia ""De Cero a Siempre"")","Cooperación Financiera","NO ESPECIFICA","US Dolar","0","110.425,00","INFANCIA Y ADOLESCENCIA","HUILA","VILLAVIEJA","BILATERALES"
"COL180","Protecci?n de ni?os y ni?as afectados por el conflicto armado y la violencia en Colombia","Los niños, niñas y adolescentes colombianos, sus familias, sus comunidades y autoridades locales, han construido ambientes protectores para mitigar los efectos del conflicto en Colombia","Cooperación Técnica","FONDO DE NACIONES UNIDAS PARA LA INFANCIA - UNICEF","US Dolar","0","1.719.292,40","INFANCIA Y ADOLESCENCIA","CÓRDOBA, PUTUMAYO, CHOCÓ, CAUCA, NARIÑO","","BILATERALES"
"COL181","Reducci?n de vulnerabilidades y aumento de factores de protecci?n para ni?os y ni?as, j?venes y familias en el departamento de c?rdona (Con prioridad Tierraalta)","Mejorar las condiciones de protección de los niños, niñas, adolescentes y jóvenes doblemente afectados por el conflicto interno armado y desastres de origen natural en el Deparamento de Córdoba, particularmente en el municipio de Tierralta.","Cooperación Financiera","DIAKONIE KATASTROPHENHILFE","US Dolar","0","501.760,00","VICTIMAS DE LA VIOLENCIA, VICTIMAS DE DESASTRES NATURALES","CÓRDOBA","TIERRALTA","BILATERALES"
"COL182","Consolidaci?n de pol?ticas de protecci?n y prevencion de NNAJ que se encuentran en alto riesgo de reclutamiento en el departamento del Tolima y del Putumayo","Contribuir a la promoción y adopción de políticas publicas para favorecer la disminucion del reclutamiento de NNAJ, enfocandose en acciones de prevencion y proteccion de los NNAJ en zonas de conflicto armado en Colombia.","Cooperación Técnica","MERCY CORPS","US Dolar","43.334,00","130.000,00","INFANCIA Y ADOLESCENCIA","PUTUMAYO, TOLIMA","PLANADAS, PUERTO ASIS, RIOBLANCO","BILATERALES"
"COL183","Acci?n para la prevenci?n de las violaciones en los derechos de Ni?os, Ni?as y Adolescentes y otras afectaciones en el marco del conflicto armado en los departamentos de Huila y Putumayo.","Contribuir a la prevención de violaciones a los derechos humanos y las múltiples afectaciones que el conflicto armado interno genera en niños, niñas y adolescentes (NNA), e incidir en que haya garantías para el pleno ejercicio de los derechos de esta población.","Cooperación Financiera","HUMANIDAD VIGENTE.","US Dolar","14.430,00","129.870,00","INDIGENAS, CAMPESINOS, JÓVENES, ORGANIZACIONES SOCIALES","HUILA, PUTUMAYO","","BILATERALES"
"COL184","Iniciativa Regional Andina Educaci?n para el Empleo","Mejoramiento del bienestar socio-económico de jóvenes vulnerables en áreas rurales y peri-urbanas de Bolivia, Colombia y Perú.","Cooperación Técnica","NO ESPECIFICA","US Dolar","0","4.500.000,00","JÓVENES","AMBITO NACIONAL","","BILATERALES"
"COL185","Fortalecer la generaci?n de ingresos en la Comuna 18: formaci?n, acompa?amiento empresarial y mejora de la din?mica familiar.","Contribuir a la mejora de los ingresos de las familias de la Comuna 18, mediante procesos de formación, acompañamiento y una estrategia integral para el fortalecimiento de la dinámica familiar.","Cooperación Técnica","FUNDACION CARVAJAL","US Dolar","0","246.470,00","POBLACIÓN EN GENERAL, MUJERES","VALLE DEL CAUCA","CALI","BILATERALES"
"COL186","Fortalecimiento de procesos participativos de comunidades étnicas y campesinas y promoción de la ciudadanía activa, para la gestión y protección medioambiental del territorio como aporte a la agendas de desarrollo rural de los Departamentos de Santander, Norte de Santander y Tolima y contribución a la construcción de paz desde lo local","Contribuir al desarrollo sostenible y la reducción de la pobreza en Colombia, mediante el fortalecimiento de procesos organizativos de comunidades campesinas e indígenas para su participación activa y cualificada durante el diseño e implementación de planes de desarrollo regional y procesos de gestión territorial, como aportes desde la sociedad civil en la construcción de paz desde un ámbito locaL.","Cooperación Financiera","FORUMSYD","US Dolar","0","432.911,33","INDIGENAS, CAMPESINOS","NORTE DE SANTANDER, SANTANDER, TOLIMA","","BILATERALES"
"COL187","Human Rights Internet - Pasant?as Internacionales 2011-2014","Apoyar el desarrollo de cooperación internacional a través de pasantías.","Cooperación Técnica","NO ESPECIFICA","US Dolar","0","175.500,00","POBLACIÓN EN GENERAL","AMBITO NACIONAL","","BILATERALES"
"COL188","MEJORA DE SALUD E INCREMENTO DE LA PROTECCION PARA ENFERMEDADES TRANSMISIBLES","Mejorar salud mujeres y niños excluidos y vulnerables.","Cooperación Técnica","ORGANIZACION PANAMERICA DE SALUD - OPS/OMS","US Dolar","0","56.044,50","POBLACIÓN EN GENERAL","VAUPÉS, CAQUETÁ","FLORENCIA","BILATERALES"
"COL189","Sostenibilidad Econ?mica, Equidad de G?nero y Derechos Humanos","Mejorar la calidad de vida de mujeres y hombres mediante la reducción de la pobreza.","Cooperación Técnica","NO ESPECIFICA","US Dolar","0","168.840,00","MUJERES","AMBITO NACIONAL","","BILATERALES"
"COL190","Reducci?n de la incidencia de enfermedades relacionadas con el agua, el saneamiento b?sico y las pr?cticas de higiene en poblaci?n afectada por el conflicto armado en el Departamento del Putumayo y Nari?o.","Reducir la incidencia de enfermedades relacionadas con el agua, el saneamiento básico y las prácticas de higiene en población afectada por la violencia en el Departamento del Putumayo y Nariño.","Cooperación Técnica","AGENCIA SUIZA PARA EL DESARROLLO Y LA COOPERACIÓN - COSUDE","US Dolar","296.547,00","277.342,50","VICTIMAS DE LA VIOLENCIA","PUTUMAYO, NARIÑO","","BILATERALES"
